"","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize"
"Acanthastrea brevis","1","5","1","4","3","1","1"
"Acanthastrea echinata","1","4","2","4","4","1","1"
"Acanthastrea ishigakiensis","1","4","1","4","4","1","1"
"Acanthastrea rotundoflora","1","4","1","4","1","2","1"
"Acanthastrea subechinata","1","4","1","4","4","1","1"
"Acropora abrotanoides","5","1","4","2","5","4","5"
"Acropora aculeus","4","1","1","2","3","5","3"
"Acropora acuminata","5","1","3","2","5","4","5"
"Acropora anthocercis","4","1","2","2","2","2","2"
"Acropora appressa","4","1","3","2","3","5","3"
"Acropora arabensis","4","2","3","3","3","4","3"
"Acropora aspera","4","1","3","1","5","4","5"
"Acropora austera","5","1","3","2","5","4","5"
"Acropora bifurcata","4","1","3","2","2","2","2"
"Acropora branchi","4","1","3","2","2","2","2"
"Acropora cerealis","3","1","1","2","3","5","3"
"Acropora clathrata","4","1","3","2","2","2","2"
"Acropora copiosa","5","1","3","2","5","4","5"
"Acropora cytherea","5","1","4","2","2","2","2"
"Acropora digitifera","4","1","2","3","3","4","3"
"Acropora divaricata","4","1","3","2","2","2","2"
"Acropora donei","5","1","4","2","5","4","5"
"Acropora downingi","4","1","3","2","2","2","2"
"Acropora echinata","5","1","3","2","4","4","5"
"Acropora efflorescens","4","1","4","2","2","2","2"
"Acropora elseyi","5","1","1","2","4","4","5"
"Acropora florida","5","1","5","2","5","4","5"
"Acropora forskali","5","2","3","2","5","4","5"
"Acropora gemmifera","3","1","2","2","3","4","3"
"Acropora glauca","4","1","3","2","2","2","2"
"Acropora grandis","5","1","5","2","5","4","5"
"Acropora granulosa","2","1","2","2","2","2","2"
"Acropora haimei","5","2","3","2","4","3","4"
"Acropora hemprichii","2","1","4","2","5","4","5"
"Acropora horrida","5","1","4","1","4","3","4"
"Acropora humilis","3","1","2","2","3","4","3"
"Acropora hyacinthus","4","1","4","2","2","2","2"
"Acropora inermis","5","1","3","2","4","3","4"
"Acropora irregularis","5","1","4","2","5","4","5"
"Acropora lamarcki","4","1","4","2","2","2","2"
"Acropora latistella","4","1","3","2","3","5","3"
"Acropora listeri","5","1","1","2","4","3","4"
"Acropora longicyathus","5","1","3","2","4","4","5"
"Acropora loripes","4","1","1","2","3","5","3"
"Acropora lutkeni","5","1","5","2","5","4","5"
"Acropora macrostoma","4","1","2","2","3","5","3"
"Acropora maryae","5","1","2","2","4","3","4"
"Acropora massawensis","4","1","4","3","3","4","3"
"Acropora microclados","4","1","2","2","3","5","3"
"Acropora microphthalma","5","1","4","2","5","4","5"
"Acropora millepora","4","1","3","2","3","5","3"
"Acropora mirabilis","4","1","3","2","3","5","3"
"Acropora monticulosa","4","1","4","3","3","4","3"
"Acropora nana","5","1","1","2","4","3","4"
"Acropora nasuta","4","1","2","2","3","5","3"
"Acropora natalensis","4","1","3","2","2","2","2"
"Acropora ocellata","4","1","3","3","3","4","3"
"Acropora palmerae","2","1","3","4","1","2","1"
"Acropora paniculata","4","1","3","2","2","2","2"
"Acropora parapharaonis","4","1","3","2","2","2","2"
"Acropora pharaonis","3","1","2","2","2","2","2"
"Acropora pinguis","5","1","4","2","5","4","5"
"Acropora plantaginea","4","1","3","2","3","5","3"
"Acropora polystoma","4","1","2","2","3","5","3"
"Acropora pulchra","5","1","5","4","5","4","5"
"Acropora rambleri","4","1","2","2","2","2","2"
"Acropora retusa","4","1","3","3","3","4","3"
"Acropora robusta","3","1","2","2","5","4","5"
"Acropora rosaria","4","2","3","2","3","5","3"
"Acropora roseni","5","1","4","2","5","4","5"
"Acropora rudis","5","1","2","2","5","4","5"
"Acropora rufus","5","1","3","2","4","3","4"
"Acropora samoensis","4","1","2","3","3","4","3"
"Acropora secale","5","1","2","2","4","3","4"
"Acropora selago","4","1","2","2","3","5","3"
"Acropora solitaryensis","3","1","4","2","2","2","2"
"Acropora spicifera","5","1","4","2","2","2","2"
"Acropora squarrosa","5","1","3","2","4","3","4"
"Acropora stoddarti","4","1","4","2","2","2","2"
"Acropora subglabra","5","1","3","2","4","4","5"
"Acropora subulata","4","1","4","2","2","2","2"
"Acropora tenuis","4","1","3","2","3","5","3"
"Acropora valenciennesi","5","1","4","2","5","4","5"
"Acropora valida","4","1","1","2","3","5","3"
"Acropora variabilis","5","1","3","2","4","3","4"
"Acropora variolosa","5","1","3","2","5","4","5"
"Acropora vaughani","5","1","3","2","4","3","4"
"Acropora vermiculata","4","1","3","2","3","5","3"
"Acropora verweyi","4","1","3","2","3","5","3"
"Acropora willisae","4","1","2","2","3","5","3"
"Acropora yongei","5","1","4","2","4","3","4"
"Alveopora allingi","4","2","2","3","5","1","5"
"Alveopora catalai","5","2","5","2","4","3","4"
"Alveopora daedalea","4","2","2","3","5","1","5"
"Alveopora fenestrata","3","2","2","3","4","1","1"
"Alveopora ocellata","2","1","1","4","1","2","1"
"Alveopora spongiosa","4","1","3","3","5","1","5"
"Alveopora tizardi","2","1","1","4","1","2","1"
"Alveopora verrilliana","3","2","2","3","3","1","1"
"Alveopora viridis","4","1","2","3","5","1","5"
"Anacropora forbesi","5","1","3","2","4","3","4"
"Anacropora puertogalerae","5","1","3","2","4","3","4"
"Anacropora reticulata","5","1","3","2","4","3","4"
"Anacropora spinosa","5","1","3","2","4","3","4"
"Anacropora spumosa","5","1","3","2","4","3","4"
"Astreopora cucullata","3","2","2","3","4","1","1"
"Astreopora expansa","4","2","2","5","2","4","2"
"Astreopora gracilis","3","1","2","3","4","1","1"
"Astreopora listeri","3","1","2","3","4","1","1"
"Astreopora myriophthalma","2","2","2","3","4","1","1"
"Astreopora ocellata","3","2","2","3","4","1","1"
"Astreopora suggesta","3","1","2","3","4","1","1"
"Blastomussa merleti","1","2","1","3","1","2","1"
"Blastomussa wellsi","1","4","1","3","4","1","1"
"Cantharellus doederleini","2","5","1","3","1","1","1"
"Catalaphyllia jardinei","2","4","2","3","1","1","1"
"Caulastrea connata","2","5","2","3","4","1","1"
"Caulastrea furcata","2","4","5","3","4","1","1"
"Caulastrea tumida","2","5","2","3","4","1","1"
"Coeloseris mayeri","2","3","2","3","4","1","1"
"Ctenactis crassa","2","5","1","3","1","1","1"
"Ctenactis echinata","2","5","1","4","1","1","1"
"Ctenella chagius","1","2","2","3","3","1","1"
"Cynarina lacrymalis","1","5","1","4","4","1","1"
"Cyphastrea chalcidicum","2","2","2","2","4","1","1"
"Cyphastrea hexasepta","2","1","2","2","4","1","1"
"Cyphastrea microphthalma","2","2","2","2","4","1","1"
"Cyphastrea serailia","1","2","2","2","4","1","1"
"Diploastrea heliopora","1","3","5","4","4","1","1"
"Echinophyllia aspera","1","3","3","4","2","4","2"
"Echinophyllia echinata","1","4","1","4","2","4","2"
"Echinophyllia echinoporoides","1","2","2","4","1","2","1"
"Echinophyllia orpheensis","1","3","1","4","3","1","1"
"Echinopora forskaliana","2","2","2","3","4","1","1"
"Echinopora fruticulosa","4","2","4","2","4","3","4"
"Echinopora gemmacea","3","2","3","4","2","4","2"
"Echinopora hirsutissima","2","2","2","3","3","1","1"
"Echinopora irregularis","3","2","3","2","3","4","3"
"Echinopora lamellosa","3","2","5","4","2","4","2"
"Echinopora mammiformis","3","3","5","3","2","3","2"
"Echinopora robusta","2","3","2","3","4","1","1"
"Echinopora tiranensis","3","2","3","2","3","4","3"
"Erythrastrea flabellata","2","4","2","3","4","1","1"
"Euphyllia ancora","1","5","2","3","4","1","1"
"Euphyllia cristata","1","5","1","3","4","1","1"
"Euphyllia glabrescens","1","4","1","3","4","1","1"
"Euphyllia paraancora","1","5","1","3","4","1","1"
"Favites abdita","1","4","2","3","4","1","1"
"Favites acuticollis","2","3","2","3","4","1","1"
"Favites chinensis","2","4","2","3","4","1","1"
"Favites complanata","2","4","2","3","4","1","1"
"Favites flexuosa","2","4","2","3","4","1","1"
"Favites halicora","2","4","2","3","4","1","1"
"Favites pentagona","2","3","2","2","3","1","1"
"Favites spinosa","2","3","2","3","4","1","1"
"Favites stylifera","2","3","2","3","3","1","1"
"Favites vasta","2","4","2","3","4","1","1"
"Fungia fungites","2","5","1","4","1","1","1"
"Galaxea astreata","1","2","3","3","3","1","1"
"Galaxea fascicularis","1","3","5","3","4","1","1"
"Gardineroseris planulata","2","2","2","3","4","1","1"
"Goniastrea columella","2","4","2","3","3","1","1"
"Goniastrea edwardsi","2","2","2","2","4","1","1"
"Goniastrea favulus","1","3","2","3","4","1","1"
"Goniastrea minuta","2","2","2","2","3","1","1"
"Goniastrea pectinata","2","4","2","3","3","1","1"
"Goniastrea retiformis","2","3","2","3","4","1","1"
"Goniastrea thecata","2","3","2","3","4","1","1"
"Goniopora albiconus","1","2","2","3","1","2","1"
"Goniopora burgosi","2","1","2","2","3","1","1"
"Goniopora ciliatus","3","2","5","2","3","1","1"
"Goniopora columna","3","2","2","2","5","1","5"
"Goniopora djiboutiensis","3","2","2","2","5","1","5"
"Goniopora lobata","3","2","2","2","5","1","5"
"Goniopora minor","1","2","1","3","1","2","1"
"Goniopora pearsoni","2","2","4","2","4","1","1"
"Goniopora planulata","3","2","2","2","5","1","5"
"Goniopora savignyi","3","2","2","2","5","1","5"
"Goniopora somaliensis","1","2","4","3","1","2","1"
"Goniopora stokesi","3","2","1","2","5","1","5"
"Goniopora sultani","3","3","2","2","5","1","5"
"Goniopora tenella","1","2","1","3","1","2","1"
"Goniopora tenuidens","2","2","2","2","4","1","1"
"Gyrosmilia interrupta","1","3","1","3","3","1","1"
"Halomitra pileus","2","2","2","3","4","1","1"
"Herpolitha limax","2","5","1","4","4","1","1"
"Horastrea indica","1","4","1","4","4","1","1"
"Hydnophora exesa","2","2","2","3","3","1","1"
"Hydnophora grandis","3","2","3","3","2","3","2"
"Hydnophora microconos","2","3","3","2","4","1","1"
"Hydnophora rigida","5","3","4","2","4","3","4"
"Isopora brueggemanni","5","1","3","2","5","4","5"
"Isopora crateriformis","2","1","2","4","1","2","1"
"Isopora cuneata","2","1","1","4","1","2","1"
"Isopora palifera","5","1","3","3","5","4","5"
"Leptastrea aequalis","1","2","1","3","1","2","1"
"Leptastrea bewickensis","1","2","2","3","1","2","1"
"Leptastrea bottae","1","2","1","3","1","2","1"
"Leptastrea inaequalis","2","2","1","2","4","1","1"
"Leptastrea pruinosa","1","2","1","3","1","2","1"
"Leptastrea purpurea","1","3","2","3","1","2","1"
"Leptastrea transversa","1","3","1","4","1","2","1"
"Leptoria irregularis","1","3","3","3","1","2","1"
"Leptoria phrygia","2","2","2","3","4","1","1"
"Leptoseris explanata","3","2","2","5","2","4","2"
"Leptoseris foliosa","3","1","2","5","2","4","2"
"Leptoseris gardineri","3","2","5","5","2","4","2"
"Leptoseris hawaiiensis","1","2","1","4","1","2","1"
"Leptoseris mycetoseroides","3","2","3","5","2","4","2"
"Leptoseris papyracea","3","2","2","5","2","4","2"
"Leptoseris scabra","1","3","1","4","1","2","1"
"Leptoseris solida","1","2","1","4","1","2","1"
"Leptoseris yabei","3","2","2","5","2","4","2"
"Lobophyllia corymbosa","1","5","3","4","4","1","1"
"Lobophyllia diminuta","1","5","1","4","4","1","1"
"Lobophyllia hataii","1","5","1","4","4","1","1"
"Lobophyllia hemprichii","1","5","5","4","4","1","1"
"Lobophyllia robusta","1","5","3","4","4","1","1"
"Madracis kirbyi","3","2","3","4","3","4","3"
"Merulina ampliata","3","3","3","4","2","4","2"
"Merulina scabricula","3","2","3","4","2","4","2"
"Merulina scheeri","3","3","1","2","3","4","3"
"Micromussa amakusensis","1","3","1","4","1","2","1"
"Montipora aequituberculata","4","1","2","5","2","4","2"
"Montipora australiensis","4","1","2","3","5","1","5"
"Montipora calcarea","4","1","3","3","3","4","3"
"Montipora caliculata","3","1","2","3","4","1","1"
"Montipora capitata","4","1","2","3","2","3","2"
"Montipora circumvallata","4","1","3","3","3","4","3"
"Montipora corbettensis","4","1","3","3","3","4","3"
"Montipora cryptus","2","1","1","4","1","2","1"
"Montipora danae","4","1","2","5","2","4","2"
"Montipora digitata","4","1","3","2","5","4","5"
"Montipora efflorescens","3","1","2","3","4","1","1"
"Montipora effusa","3","1","2","3","3","1","1"
"Montipora floweri","3","1","2","3","3","1","1"
"Montipora foliosa","4","1","3","5","2","4","2"
"Montipora foveolata","3","2","2","3","4","1","1"
"Montipora friabilis","4","1","2","5","2","4","2"
"Montipora grisea","3","1","2","3","4","1","1"
"Montipora hispida","4","1","2","3","2","3","2"
"Montipora hoffmeisteri","2","1","1","4","1","2","1"
"Montipora incrassata","2","1","1","4","1","2","1"
"Montipora informis","3","1","2","3","4","1","1"
"Montipora kellyi","5","1","3","2","4","3","4"
"Montipora lobulata","3","1","2","3","3","1","1"
"Montipora meandrina","2","1","1","4","1","2","1"
"Montipora millepora","2","1","1","4","1","2","1"
"Montipora mollis","3","1","2","3","4","1","1"
"Montipora monasteriata","4","1","2","5","2","4","2"
"Montipora niugini","4","1","1","3","3","4","3"
"Montipora nodosa","3","1","2","3","4","1","1"
"Montipora orientalis","4","1","2","3","5","1","5"
"Montipora peltiformis","3","1","2","3","3","1","1"
"Montipora saudii","4","1","2","3","2","3","2"
"Montipora spongiosa","5","1","3","2","4","3","4"
"Montipora spongodes","2","1","1","4","1","2","1"
"Montipora spumosa","2","1","1","4","1","2","1"
"Montipora stellata","4","1","3","3","3","4","3"
"Montipora stilosa","3","1","2","3","3","1","1"
"Montipora tuberculosa","3","1","2","3","4","1","1"
"Montipora turgescens","3","1","2","3","4","1","1"
"Montipora undata","4","1","2","5","2","4","2"
"Montipora venosa","3","1","2","3","4","1","1"
"Montipora verrucosa","4","1","3","5","2","4","2"
"Mycedium elephantotus","3","3","4","4","2","4","2"
"Mycedium mancaoi","3","3","3","4","2","4","2"
"Mycedium umbra","1","4","2","4","1","2","1"
"Oulophyllia bennettae","2","4","2","1","4","1","1"
"Oulophyllia crispa","3","3","2","1","4","1","1"
"Oulophyllia levis","2","4","2","1","4","1","1"
"Oxypora convoluta","1","3","4","5","2","4","2"
"Oxypora crassispinosa","1","3","2","5","2","4","2"
"Oxypora egyptensis","1","3","2","5","3","1","1"
"Oxypora lacera","1","3","2","5","2","4","2"
"Pachyseris rugosa","1","2","5","5","2","4","2"
"Pachyseris speciosa","1","2","4","5","2","4","2"
"Pavona bipartita","2","2","2","3","3","1","1"
"Pavona cactus","4","1","5","2","3","5","2"
"Pavona clavus","3","2","5","3","5","1","5"
"Pavona danai","3","1","2","2","3","5","2"
"Pavona decussata","3","2","1","3","3","5","2"
"Pavona diffluens","2","2","2","3","3","1","1"
"Pavona duerdeni","3","2","2","3","4","1","1"
"Pavona explanulata","3","2","2","5","2","4","2"
"Pavona frondifera","3","2","2","3","3","5","2"
"Pavona maldivensis","3","2","1","4","5","1","5"
"Pavona varians","1","3","1","4","1","2","1"
"Pavona venosa","1","3","1","4","1","2","1"
"Pectinia africanus","2","4","1","3","4","1","1"
"Pectinia lactuca","1","5","2","4","1","2","1"
"Pectinia paeonia","3","5","2","5","2","4","2"
"Physogyra lichtensteini","1","4","2","3","4","1","1"
"Platygyra acuta","2","2","2","3","4","1","1"
"Platygyra carnosus","2","2","1","2","4","1","1"
"Platygyra contorta","2","2","2","2","4","1","1"
"Platygyra crosslandi","2","2","2","3","4","1","1"
"Platygyra daedalea","3","3","3","3","4","1","1"
"Platygyra lamellina","2","3","3","3","4","1","1"
"Platygyra pini","2","3","2","3","4","1","1"
"Platygyra ryukyuensis","2","2","2","2","4","1","1"
"Platygyra sinensis","2","3","3","2","4","1","1"
"Plerogyra sinuosa","1","5","2","3","4","1","1"
"Plesiastrea versipora","1","2","4","3","4","1","1"
"Pocillopora ankeli","3","1","2","4","4","3","4"
"Pocillopora damicornis","4","1","4","4","4","3","4"
"Pocillopora eydouxi","4","1","2","4","5","4","5"
"Pocillopora fungiformis","3","1","4","5","2","3","2"
"Pocillopora indiania","3","1","2","4","4","3","4"
"Pocillopora meandrina","3","1","2","2","4","3","4"
"Pocillopora verrucosa","4","1","1","3","4","3","4"
"Podabacia crustacea","1","2","3","4","1","2","1"
"Podabacia motuporensis","1","2","1","4","1","2","1"
"Podabacia sinai","3","2","2","4","2","4","2"
"Polyphyllia talpina","2","3","2","3","4","1","1"
"Porites australiensis","3","1","2","2","4","1","1"
"Porites columnaris","2","1","1","2","5","1","5"
"Porites cylindrica","3","1","5","2","2","3","2"
"Porites echinulata","3","2","2","2","5","1","5"
"Porites evermanni","3","1","3","2","5","1","5"
"Porites harrisoni","3","1","2","2","5","1","5"
"Porites horizontalata","3","1","2","2","3","4","3"
"Porites latistella","3","1","2","1","3","4","3"
"Porites lichen","3","1","2","3","2","4","2"
"Porites lobata","2","1","5","2","4","1","1"
"Porites lutea","3","1","4","2","4","1","1"
"Porites mayeri","3","1","4","1","4","1","1"
"Porites monticulosa","1","1","2","3","1","2","1"
"Porites murrayensis","2","1","1","2","4","1","1"
"Porites nigrescens","3","1","2","1","4","3","4"
"Porites nodifera","3","1","2","2","5","1","5"
"Porites profundus","4","1","3","1","4","3","4"
"Porites rus","3","1","5","1","3","4","3"
"Porites solida","3","1","2","1","4","1","1"
"Porites somaliensis","2","2","2","2","4","1","1"
"Porites stephensoni","2","1","1","2","4","1","1"
"Psammocora contigua","4","1","1","5","5","1","5"
"Psammocora digitata","4","2","1","5","5","1","5"
"Psammocora profundacella","3","2","1","4","3","1","1"
"Psammocora stellata","3","2","1","4","3","1","1"
"Sandalolitha dentata","2","2","1","3","4","1","1"
"Sandalolitha robusta","2","2","1","3","4","1","1"
"Seriatopora aculeata","3","1","2","3","4","3","4"
"Seriatopora caliendrum","5","1","3","4","4","3","4"
"Seriatopora hystrix","4","1","2","5","4","3","4"
"Seriatopora stellata","3","1","2","4","4","3","4"
"Siderastrea savignyana","1","2","2","3","4","1","1"
"Stylocoeniella armata","1","2","1","5","1","2","1"
"Stylocoeniella guentheri","3","1","1","4","3","4","3"
"Stylophora danae","3","1","1","4","4","3","4"
"Stylophora kuehlmanni","3","1","2","4","4","3","4"
"Stylophora madagascarensis","3","1","1","4","4","3","4"
"Stylophora mamillata","1","1","1","5","1","2","1"
"Stylophora pistillata","3","1","2","3","4","3","4"
"Stylophora subseriata","3","1","2","4","4","3","4"
"Stylophora wellsi","3","1","2","4","4","3","4"
"Symphyllia agaricia","1","5","1","4","4","1","1"
"Symphyllia hassi","1","4","1","4","4","1","1"
"Symphyllia radians","1","5","2","4","4","1","1"
"Symphyllia recta","1","4","2","4","4","1","1"
"Symphyllia valenciennesii","1","5","1","4","1","2","1"
"Trachyphyllia geoffroyi","2","2","1","2","4","1","1"
"Turbinaria frondens","3","1","4","2","2","4","2"
"Turbinaria irregularis","2","2","3","2","2","4","2"
"Turbinaria mesenterina","3","2","4","2","2","4","2"
"Turbinaria reniformis","2","2","5","2","2","4","2"
"Turbinaria stellulata","1","2","2","2","4","1","1"
